"","Metal_ID","QUBR_ID","Elevation..m.","Stick","Canopy1","Canopy2","Tree_pic","Env_pic","Recorder","Date","Comments","Page","Locality","Transcriber","Checked.","Daniel_tag","DBH_ag","multistemmed","Canopy_short","Canopy_long","Crown_spread","a","b","c","eccentricity","Canopy_area","lat","long"
"1",41,"LM_035","512",172,10.5,10.8,"Y","Y","KA","9/5/23",NA,"1A","LM","AMH","Y",NA,0.6,FALSE,10.5,10.8,10.65,5.4,5.25,1.26392246597646,0.234059715921566,89.0641517292706,24.0013333333333,-110.16557
"2",42,"LM_036","510",172,10.55,5.6,"Y","Y","KA","9/5/23",NA,"1A","LM","AMH","Y",NA,0.5,FALSE,5.6,10.55,8.075,5.275,2.8,4.47052849224787,0.847493553032771,46.4013234935212,24.0014716666667,-110.16504
"3",43,"LM_037","513",172,2.65,9.22,"Y","Y","KA","9/5/23",NA,"1A","LM","AMH","Y",NA,0.405,FALSE,2.65,9.22,5.935,4.61,1.325,4.41548128747026,0.957805051511986,19.1896333262899,24.0014516666667,-110.165001666667
"4",44,"LM_038","513",172,7.95,13.5,"Y","Y","KA","9/5/23",NA,"1A","LM","AMH","Y",NA,0.534,FALSE,7.95,13.5,10.725,6.75,3.975,5.4554445281755,0.808214004174148,84.2928578866311,24.00144,-110.16495
"5",45,"LM_039","511",172,13.1,10.6,"Y","Y","KA","9/5/23","3 trunks at breast height so 3 DBH's","1A","LM","AMH","Y",NA,0.663713040402251,TRUE,10.6,13.1,11.85,6.55,5.3,3.84870107958516,0.587587951081704,109.06038896937,24.0014116666667,-110.164946666667
"6",46,"LM_040","515",172,11.35,13.15,"Y","Y","KA","9/5/23",NA,"1A","LM","AMH","Y",NA,0.472,FALSE,11.35,13.15,12.25,6.575,5.675,3.3203915431768,0.505002516072517,117.222639382478,24.0014266666667,-110.16478
"7",47,"LM_049","511",172,9.5,9.35,"Y","Y","KA","9/5/23",NA,"1A","LM","AMH","Y",NA,0.287,FALSE,9.35,9.5,9.425,4.75,4.675,0.840758586040012,0.177001807587371,69.7629918637783,24.0014333333333,-110.16436
"8",48,"LM_047","514",172,10,11.25,"Y","Y","KA","9/5/23","2 trunks at breast height so 2 DBH's","1A","LM","AMH","Y",NA,0.563493566955294,TRUE,10,11.25,10.625,5.625,5,2.57694101601104,0.458122847290851,88.3572933822129,24.001445,-110.163878333333
"9",33,"LM_053","514",172,8.9,3,"Y","Y","KA","9/5/23",NA,"1B","LM","AMH","Y",NA,0.418,FALSE,3,8.9,5.95,4.45,1.5,4.18957038370284,0.94147649071974,20.9701309627119,24.0007983333333,-110.16615
"10",34,"LM_052","514",172,5.85,9.55,"Y","Y","KA","9/5/23",NA,"1B","LM","AMH","Y",NA,0.399,FALSE,5.85,9.55,7.7,4.775,2.925,3.77425489335312,0.790419872953534,43.8782318936069,24.0008133333333,-110.166166666667
"11",35,"LM_051","513",172,4.85,5.3,"Y","Y","KA","9/5/23",NA,"1B","LM","AMH","Y",NA,0.3,FALSE,4.85,5.3,5.075,2.65,2.425,1.06858551365813,0.403239816474765,20.1886597901314,24.0008733333333,-110.166158333333
"12",36,"LM_050","511",172,7.9,3,"Y","Y","KA","9/5/23",NA,"1B","LM","AMH","Y",NA,0.356,FALSE,3,7.9,5.45,3.95,1.5,3.65410727811869,0.925090450156631,18.6139364725195,24.0009316666667,-110.166103333333
"13",37,"LM_031","512",172,15.3,7.7,"Y","Y","KA","9/5/23","2 trunks at breast height so 2 DBH's","1B","LM","AMH","Y",NA,0.666096089164319,TRUE,7.7,15.3,11.5,7.65,3.85,6.61059755241536,0.864130399008544,92.5277576298534,24.000985,-110.165988333333
"14",38,"LM_032","515",172,5.25,6.65,"Y","Y","KA","9/5/23","Tons of developing acorns","1B","LM","AMH","Y",NA,0.416,FALSE,5.25,6.65,5.95,3.325,2.625,2.04083316319586,0.613784409983716,27.4202133796134,24.0013166666667,-110.165655
"15",39,"LM_033","513",172,12.95,9.65,"Y","Y","KA","9/5/23",NA,"1B","LM","AMH","Y",NA,0.558,FALSE,9.65,12.95,11.3,6.475,4.825,4.31798564147682,0.66687036934005,98.1492449843706,24.001305,-110.165581666667
